workshop_type,slug_auto,learner_id,skill_data_raw,skill_write_program,skill_search_answers,skill_overcome_problem,skill_confidence_programming,skill_reproducibility_programming,skill_efficient_programming
swc,2018-09-24-koper,4fevoj,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
dc,2018-09-13-edinburgh,2duper,Agree,Disagree,Neutral,Neutral,Disagree,Agree,Agree
dc,2018-09-13-edinburgh,6yajam,Agree,Neutral,Disagree,Neutral,Strongly disagree,Neutral,Neutral
swc,2018-09-21-sc,NA,NA,NA,NA,NA,NA,NA,NA
dc,2018-09-13-edinburgh,0tsedi,Disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,Agree,Strongly agree
swc,2018-09-22-emory,3mieuc,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree
swc,2018-10-01-UW-swc,1sarin,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral
swc,2018-09-24-Imperial,NA,NA,NA,NA,NA,NA,NA,NA
swc,2018-09-24-koper,0mezad,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree
swc,2018-10-01-UW-dc,1grfif,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree
dc,2018-09-19-nwu-library-week,3vipar,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Neutral
swc,2018-09-22-emory,NA,NA,NA,NA,NA,NA,NA,NA
swc,2018-09-24-Imperial,2anrud,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
swc,2018-09-24-koper,1ljjad,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
swc,2017-02-16-rc-days,5polab,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Neutral
swc,2018-09-22-emory,0atcra,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Agree
swc,2018-09-21-sc,NA,NA,NA,NA,NA,NA,NA,NA
dc,2018-09-13-edinburgh,1ipsum,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
swc,2017-02-16-rc-days,1chwes,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree
dc,NA,NA,NA,NA,NA,NA,NA,NA,NA
dc,2018-09-13-edinburgh,5papar,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
dc,2018-09-13-edinburgh,1rorad,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree
swc,2018-10-05-UCSF-Python,1alsac,NA,NA,NA,NA,NA,NA,NA
dc,2018-09-29-tamu-kingsville,3dharm,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree
swc,2018-09-24-python,NA,NA,NA,NA,NA,NA,NA,NA
swc,2018-09-24-CERTH,NA,NA,NA,NA,NA,NA,NA,NA
swc,2018-09-24-koper,NA,NA,NA,NA,NA,NA,NA,NA
dc,2018-09-27-ukzn,1veoak,Strongly agree,Strongly disagree,Agree,Disagree,Disagree,Strongly agree,Strongly agree
swc,2018-09-24-koper,1gjvoj,Neutral,Agree,Strongly agree,Neutral,Neutral,Agree,Strongly agree
dc,2018-09-13-edinburgh,5blmat,Strongly agree,Strongly disagree,Disagree,Neutral,Disagree,Strongly agree,Strongly agree
dc,2018-09-27-ukzn,3dueva,Strongly agree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree
dc,2018-09-13-edinburgh,NA,NA,NA,NA,NA,NA,NA,NA
swc,2018-09-22-emory,0cdcov,Neutral,Neutral,NA,Neutral,Neutral,Neutral,Neutral
dc,2018-09-27-ukzn,2duthe,Agree,Strongly disagree,Strongly agree,Neutral,Agree,Agree,Agree
swc,2016-07-18-usq,2ahwes,Agree,Neutral,Agree,Disagree,Neutral,Agree,Agree
dc,2018-09-13-edinburgh,2bobur,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
swc,2018-09-21-sc,NA,NA,NA,NA,NA,NA,NA,NA
dc,2018-09-13-edinburgh,2babla,Strongly agree,Disagree,Agree,Neutral,Agree,Agree,Agree
swc,2018-09-22-UTA,3gwove,Agree,Neutral,Agree,Agree,Agree,Agree,Agree
dc,2018-09-27-ukzn,5ducoa,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree
swc,2018-09-24-koper,0rifuz,Neutral,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral
dc,2018-09-12-new_england_tribes_USGS,2elooh,Strongly agree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Strongly agree,Strongly agree
dc,2018-09-13-edinburgh,2daclo,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree
swc,2018-09-24-Imperial,NA,NA,NA,NA,NA,NA,NA,NA
dc,2018-09-13-edinburgh,1alsla,Agree,Disagree,Disagree,Agree,Strongly disagree,Neutral,Neutral
dc,2018-09-12-new_england_tribes_USGS,2auwes,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree
swc,2018-09-24-koper,NA,NA,NA,NA,NA,NA,NA,NA
swc,2018-10-01-UW-swc,3me54s,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree
dc,2018-09-19-nwu-library-week,3klsan,Strongly agree,Neutral,Neutral,Neutral,Agree,Disagree,Disagree
swc,2018-09-24-koper,0issvo,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree
dc,2018-09-13-edinburgh,0shmou,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree
dc,Swansea-2018-09-20,3limay,Strongly agree,Agree,Agree,Disagree,Strongly disagree,Strongly agree,Strongly agree
dc,2018-09-27-ukzn,2sifei,Agree,Disagree,Agree,Agree,Neutral,Neutral,Agree
dc,2018-09-12-new_england_tribes_USGS,2putaf,Agree,Agree,Agree,Agree,Agree,Agree,Agree
dc,2018-09-27-ukzn,1dueas,Neutral,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral
swc,2018-09-21-sc,4tusto,Agree,Agree,Agree,Agree,Agree,Agree,Agree
dc,2018-09-10-utoronto,NA,NA,NA,NA,NA,NA,NA,NA
swc,2018-10-01-UW-swc,1an152,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
dc,2018-09-12-new_england_tribes_USGS,3majac,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral
dc,Swansea-2018-09-20,1sapor,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree
swc,2017-02-16-rc-days,NA,NA,NA,NA,NA,NA,NA,NA
swc,2018-09-24-CERTH,NA,NA,NA,NA,NA,NA,NA,NA
dc,2018-09-27-ukzn,0dufox,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Disagree,Neutral,Neutral
dc,2018-09-12-new_england_tribes_USGS,0negov,Strongly agree,Agree,Agree,Neutral,Strongly disagree,Strongly agree,Strongly agree
dc,Swansea-2018-09-20,5albah,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree
swc,2018-09-24-koper,NA,NA,NA,NA,NA,NA,NA,NA
swc,2018-09-24-Imperial,NA,NA,NA,NA,NA,NA,NA,NA
swc,2018-09-22-UTA,NA,NA,NA,NA,NA,NA,NA,NA
dc,2018-09-29-tamu-kingsville,1pigaz,Agree,Agree,Agree,Agree,Agree,Agree,Agree
dc,2018-09-19-nwu-library-week,1shtau,Neutral,Neutral,Agree,Neutral,Strongly disagree,Neutral,Neutral
dc,2018-09-13-edinburgh,NA,NA,NA,NA,NA,NA,NA,NA
swc,2018-09-24-Imperial,NA,NA,NA,NA,NA,NA,NA,NA
dc,2018-09-10-jax,0lunor,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree
dc,2018-10-25-wsu,NA,NA,NA,NA,NA,NA,NA,NA
swc,2018-09-22-emory,0webil,Strongly agree,Neutral,Agree,Neutral,Agree,Strongly agree,Agree
swc,2018-09-21-sc,4cahan,NA,NA,NA,NA,NA,NA,NA
swc,2018-09-22-emory,4mecon,Strongly agree,Strongly disagree,Strongly agree,Disagree,Disagree,Disagree,Agree
swc,2018-09-24-koper,1prkoc,Agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree
swc,[workshop,NA,NA,NA,NA,NA,NA,NA,NA
swc,2018-10-01-UW-swc,1varav,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
dc,2018-09-27-ukzn,3pi129,Strongly agree,Disagree,Agree,Neutral,Disagree,Strongly agree,Strongly agree
dc,2018-09-03-DC-Wollo,1woter,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree
dc,2018-09-13-edinburgh,1rawes,Strongly agree,Disagree,Agree,Neutral,Disagree,Strongly agree,Strongly agree
dc,2018-09-29-tamu-kingsville,NA,NA,NA,NA,NA,NA,NA,NA
dc,Swansea-2018-09-20,1epske,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
swc,2018-09-21-sc,7kabet,Agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Strongly agree
dc,2018-10-25-wsu,NA,NA,NA,NA,NA,NA,NA,NA
swc,2018-09-24-CERTH,2prbie,NA,NA,NA,NA,NA,NA,NA
dc,2018-09-13-edinburgh,3dapot,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Agree
dc,2018-09-13-edinburgh,7logil,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree
dc,2018-09-27-ukzn,4swbat,Agree,Agree,Agree,Neutral,Disagree,Strongly agree,Strongly agree
swc,2018-09-24-koper,2mekoz,Neutral,Agree,Agree,Agree,Agree,Agree,Agree
swc,2018-09-24-koper,0kpcna,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Agree
swc,[workshop,0mored,Agree,Agree,Agree,Agree,Agree,Agree,Agree
swc,2017-02-16-rc-days,1naboi,Agree,Agree,Agree,Agree,Agree,Agree,Agree
swc,2018-10-05-UCSF-Python,1sdrub,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree
dc,2018-09-13-edinburgh,4sogla,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
swc,[workshop,NA,NA,NA,NA,NA,NA,NA,NA
dc,Swansea-2018-09-20,1swhow,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree
swc,2018-09-22-emory,00frwa,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree
swc,2018-09-24-Imperial,NA,NA,NA,NA,NA,NA,NA,NA
dc,2018-09-13-edinburgh,0baros,Strongly agree,Disagree,Neutral,Neutral,Disagree,Strongly agree,Strongly agree
dc,2018-09-29-tamu-kingsville,NA,NA,NA,NA,NA,NA,NA,NA
dc,2018-09-29-tamu-kingsville,0shwsg,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Agree
dc,Swansea-2018-09-20,3swarf,Strongly agree,Neutral,Agree,Neutral,Disagree,Agree,Agree
swc,2018-09-21-sc,1wu10t,Disagree,Neutral,Agree,Agree,Disagree,Agree,Agree
swc,2018-09-24-Imperial,NA,NA,NA,NA,NA,NA,NA,NA
swc,2018-09-24-koper,1ljtrz,NA,NA,NA,NA,NA,NA,NA
swc,2018-09-24-Imperial,1pagle,Strongly agree,Strongly disagree,Agree,Neutral,Disagree,Neutral,Agree
dc,2018-09-29-tamu-kingsville,NA,NA,NA,NA,NA,NA,NA,NA
dc,2018-09-12-new_england_tribes_USGS,bb123k,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral
dc,2018-09-12-new_england_tribes_USGS,2auwes,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree
swc,2018-09-22-emory,4yanor,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly agree
dc,2018-09-13-edinburgh,2papar,Agree,Neutral,Agree,Disagree,Disagree,Agree,Agree
dc,2018-09-13-edinburgh,0ctard,Strongly agree,Disagree,Agree,Neutral,Agree,Agree,Agree
swc,2018-09-21-sc,NA,NA,NA,NA,NA,NA,NA,NA
dc,2018-09-27-ukzn,1benic,Strongly agree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly agree,Strongly agree
swc,2018-09-22-emory,NA,NA,NA,NA,NA,NA,NA,NA
dc,2018-09-27-ukzn,1halig,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Agree
swc,2018-09-22-emory,3jamoo,Agree,Agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree
swc,2018-09-22-emory,1sebri,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree
dc,2018-09-19-nwu-library-week,2klcor,Strongly agree,Strongly disagree,Neutral,Disagree,Disagree,Neutral,Neutral
swc,2018-09-24-CERTH,1vaale,Agree,Agree,Agree,Agree,Agree,Agree,Agree
swc,2018-10-01-UW-swc,2sytur,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral
swc,2018-09-24-koper,2andel,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
swc,2018-09-22-UTA,1dhmir,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree
dc,Swansea-2018-09-20,2crelm,Agree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Neutral
dc,2018-09-13-edinburgh,3wamin,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Agree,Strongly agree
