workshop_type,slug_auto,frequency_statistical_gui,frequency_programming_language,frequency_databases,frequency_version_control,frequency_command_line,current_satisfaction_level
swc,2018-09-22-UTA,NA,NA,NA,NA,NA,NA
swc,2018-09-24-CERTH,Less than once per year,Weekly,Less than once per year,Never,Monthly,Satisfied
swc,2018-09-24-koper,NA,NA,NA,NA,NA,NA
swc,2018-09-21-sc,Never,Daily,Less than once per year,Monthly,Weekly,Satisfied
swc,2017-02-16-rc-days,Never,Daily,Less than once per year,Never,Monthly,Neutral
dc,2018-09-13-edinburgh,Never,Never,Never,Never,Never,Not sure
swc,2018-09-22-UTA,Several times per year,Monthly,Less than once per year,Never,Less than once per year,Unsatisfied
swc,2018-09-22-emory,Monthly,Never,Never,Never,Never,Neutral
dc,2018-09-24-cambridge,Less than once per year,Less than once per year,Less than once per year,Less than once per year,Several times per year,Unsatisfied
dc,2018-09-13-edinburgh,NA,NA,NA,NA,NA,NA
swc,[workshop,Monthly,Several times per year,Never,Never,Less than once per year,Neutral
swc,2018-09-22-emory,Several times per year,Several times per year,Less than once per year,Never,Less than once per year,Not applicable
dc,2018-09-19-nwu-library-week,Never,Never,Never,Never,Never,Unsatisfied
swc,2018-09-24-koper,Never,Less than once per year,Never,Monthly,Never,Neutral
swc,2017-02-16-rc-days,NA,NA,NA,NA,NA,NA
swc,2018-09-22-UTA,NA,NA,NA,NA,NA,NA
swc,2018-09-24-CERTH,Never,Daily,Monthly,Weekly,Daily,Unsatisfied
swc,2018-09-24-CERTH,NA,NA,NA,NA,NA,NA
swc,2018-10-05-UCSF-Python,Weekly,Weekly,Weekly,Monthly,Weekly,Very unsatisfied
dc,2018-09-13-edinburgh,Never,Daily,Daily,Never,Never,Satisfied
swc,2018-09-24-koper,Never,Never,Never,Never,Less than once per year,Very unsatisfied
dc,2018-09-10-utoronto,Monthly,Monthly,NA,Never,Never,Neutral
dc,Swansea-2018-09-20,Weekly,Weekly,Never,Never,Never,Neutral
swc,2018-09-24-koper,Never,Monthly,Never,Never,Monthly,Very unsatisfied
dc,2018-09-12-new_england_tribes_USGS,Never,Less than once per year,Less than once per year,Never,Never,Neutral
swc,[workshop,NA,NA,NA,NA,NA,NA
dc,2018-09-27-ukzn,Less than once per year,Never,Never,Never,Less than once per year,Very unsatisfied
swc,2018-09-22-emory,Several times per year,Several times per year,Never,Never,Several times per year,Unsatisfied
dc,2018-09-13-edinburgh,Less than once per year,Never,Never,Never,Never,Neutral
dc,2018-09-13-edinburgh,Daily,Monthly,Several times per year,Never,Never,Satisfied
swc,[workshop,NA,NA,NA,NA,NA,NA
swc,[workshop,NA,Weekly,NA,NA,Weekly,Unsatisfied
dc,2018-09-03-DC-Wollo,Monthly,Monthly,Less than once per year,Never,Never,Satisfied
swc,2018-09-24-koper,Less than once per year,Monthly,Less than once per year,Several times per year,Less than once per year,Neutral
dc,2018-09-10-jax,Less than once per year,Daily,Less than once per year,Several times per year,Weekly,Satisfied
dc,Swansea-2018-09-20,Never,Less than once per year,Never,Never,Never,Satisfied
dc,2018-09-27-ukzn,Less than once per year,Never,Never,Never,Never,Unsatisfied
dc,2018-09-13-edinburgh,Weekly,Never,Weekly,Never,Never,Unsatisfied
